country_code,cluster_code,population,in_need,targeted,year,total_required_funds,total_granted_funds,total_granted_percentage,severity_index,sector
AFG,HEA,48595632,14423290,7218662,2026,1714181496,214214587,12.5,9.1,Health
AFG,PRO,48595632,14988378,5347659,2026,1714181496,214214587,12.5,9.1,Protection (overall)
AFG,EDU,48595632,7105602,613774,2026,1714181496,214214587,12.5,9.1,Education
AFG,FSC,48595632,17412653,11911619,2026,1714181496,214214587,12.5,9.1,Food Security
AFG,MPC,48595632,null,688322,2026,1714181496,214214587,12.5,9.1,Multi-Purpose Cash
AFG,SHL,48595632,4243627,880560,2026,1714181496,214214587,12.5,9.1,Emergency Shelter
AFG,NUT,48595632,7464230,5682222,2026,1714181496,214214587,12.5,9.1,Nutrition
AFG,ALL,48595632,21889283,17479657,2026,1714181496,214214587,12.5,9.1,Final caseload
AFG,WSH,48595632,15909907,7838434,2026,1714181496,214214587,12.5,9.1,"Water, Sanitation and Hygiene"
BFA,ALL,24100000,4400000,3100000,2026,658486359,72939948,11.08,8.4,Final caseload
CAF,HEA,6567382,955008,516609,2026,264097388,47355888,17.93,7.9,Health
CAF,MPC,6567382,null,39529,2026,264097388,47355888,17.93,7.9,Multi-Purpose Cash
CAF,NUT,6567382,335305,240392,2026,264097388,47355888,17.93,7.9,Nutrition
CAF,PRO-CPN,6567382,537806,262933,2026,264097388,47355888,17.93,7.9,Child Protection
CAF,PRO-GBV,6567382,800006,393829,2026,264097388,47355888,17.93,7.9,Gender-Based Violence (GBV)
CAF,EDU,6567382,585470,278834,2026,264097388,47355888,17.93,7.9,Education
CAF,FSC,6567382,1765978,825257,2026,264097388,47355888,17.93,7.9,Food Security
CAF,SHL,6567382,300750,180446,2026,264097388,47355888,17.93,7.9,Emergency Shelter
CAF,MS,6567382,73000,73000,2026,264097388,47355888,17.93,7.9,Refugees and Migrant Multisector
CAF,PRO-MIN,6567382,421285,219279,2026,264097388,47355888,17.93,7.9,Mine Action
CAF,CCM,6567382,411618,246970,2026,264097388,47355888,17.93,7.9,Camp Coordination And Camp Management
CAF,PRO,6567382,1043244,559981,2026,264097388,47355888,17.93,7.9,Protection (overall)
CAF,PRO,6567382,1043244,506566,2026,264097388,47355888,17.93,7.9,Protection (overall)
CAF,WSH,6567382,1096042,569945,2026,264097388,47355888,17.93,7.9,"Water, Sanitation and Hygiene"
CAF,ALL,6567382,2286959,1265483,2026,264097388,47355888,17.93,7.9,Final caseload
CMR,ALL,29900000,2900000,1800000,2026,318976221,66498901,20.85,7.9,Final caseload
COD,PRO,112800000,5850814,1373466,2026,1403721718,430024823,30.63,9,Protection (overall)
COD,WSH,112800000,5375240,2822998,2026,1403721718,430024823,30.63,9,"Water, Sanitation and Hygiene"
COD,HEA,112800000,7544115,2512134,2026,1403721718,430024823,30.63,9,Health
COD,CCM,112800000,762338,450860,2026,1403721718,430024823,30.63,9,Camp Coordination And Camp Management
COD,PRO-GBV,112800000,5225538,1000504,2026,1403721718,430024823,30.63,9,Gender-Based Violence (GBV)
COD,EDU,112800000,3901894,480758,2026,1403721718,430024823,30.63,9,Education
COD,PRO-MIN,112800000,2508214,789217,2026,1403721718,430024823,30.63,9,Mine Action
COD,SHL,112800000,3422237,1090861,2026,1403721718,430024823,30.63,9,Emergency Shelter
COD,FSC,112800000,13003064,5922823,2026,1403721718,430024823,30.63,9,Food Security
COD,MPC,112800000,null,2210120,2026,1403721718,430024823,30.63,9,Multi-Purpose Cash
COD,PRO-HLP,112800000,2705252,562687,2026,1403721718,430024823,30.63,9,"Housing, Land and Property"
COD,NUT,112800000,4256957,1853401,2026,1403721718,430024823,30.63,9,Nutrition
COD,ALL,112800000,14940727,7313763,2026,1403721718,430024823,30.63,9,Final caseload
COD,MS,112800000,512680,458749,2026,1403721718,430024823,30.63,9,Refugees and Migrant Multisector
COD,PRO-CPN,112800000,4033808,806761,2026,1403721718,430024823,30.63,9,Child Protection
COD,PRO,112800000,4994650,1090900,2026,1403721718,430024823,30.63,9,Protection (overall)
COL,ALL,53400000,6900000,2600000,2026,522218090,176217578,33.74,8.4,Final caseload
HTI,FSC,11899555,5910721,3529354,2026,880327426,172057079,19.54,8.8,Food Security
HTI,HEA,11899555,4860485,2710790,2026,880327426,172057079,19.54,8.8,Health
HTI,NUT,11899555,1225803,946258,2026,880327426,172057079,19.54,8.8,Nutrition
HTI,PRO,11899555,2195026,1235914,2026,880327426,172057079,19.54,8.8,Protection (overall)
HTI,ALL,11899555,6414193,4162202,2026,880327426,172057079,19.54,8.8,Final caseload
HTI,WSH,11899555,3530913,1403113,2026,880327426,172057079,19.54,8.8,"Water, Sanitation and Hygiene"
HTI,CCM,11899555,2118299,571841,2026,880327426,172057079,19.54,8.8,Camp Coordination And Camp Management
HTI,EDU,11899555,1493675,982031,2026,880327426,172057079,19.54,8.8,Education
HTI,SHL,11899555,4240626,590314,2026,880327426,172057079,19.54,8.8,Emergency Shelter
MLI,ALL,25200000,5100000,3800000,2026,577866412,75201041,13.01,8.6,Final caseload
MMR,PRO,54900000,11596899,3372443,2026,889600798,245472134,27.59,9.2,Protection (overall)
MMR,EDU,54900000,3523306,1135546,2026,889600798,245472134,27.59,9.2,Education
MMR,NUT,54900000,2653317,677374,2026,889600798,245472134,27.59,9.2,Nutrition
MMR,FSC,54900000,8475703,1506063,2026,889600798,245472134,27.59,9.2,Food Security
MMR,SHL,54900000,7745468,3390703,2026,889600798,245472134,27.59,9.2,Emergency Shelter
MMR,ALL,54900000,16229050,4868096,2026,889600798,245472134,27.59,9.2,Final caseload
MMR,WSH,54900000,8948125,2375280,2026,889600798,245472134,27.59,9.2,"Water, Sanitation and Hygiene"
MMR,HEA,54900000,9251462,2002225,2026,889600798,245472134,27.59,9.2,Health
MOZ,CCM,35600000,695553,384738,2026,534342584,131262552,24.57,7.5,Camp Coordination And Camp Management
MOZ,NUT,35600000,588027,371552,2026,534342584,131262552,24.57,7.5,Nutrition
MOZ,PRO,35600000,1334382,755246,2026,534342584,131262552,24.57,7.5,Protection (overall)
MOZ,WSH,35600000,1688838,1187915,2026,534342584,131262552,24.57,7.5,"Water, Sanitation and Hygiene"
MOZ,PRO-HLP,35600000,283651,70770,2026,534342584,131262552,24.57,7.5,"Housing, Land and Property"
MOZ,SHL,35600000,1631225,1054331,2026,534342584,131262552,24.57,7.5,Emergency Shelter
MOZ,EDU,35600000,738165,553295,2026,534342584,131262552,24.57,7.5,Education
MOZ,HEA,35600000,1216660,948693,2026,534342584,131262552,24.57,7.5,Health
MOZ,ALL,35600000,2356162,1745582,2026,534342584,131262552,24.57,7.5,Final caseload
MOZ,PRO-GBV,35600000,933555,721494,2026,534342584,131262552,24.57,7.5,Gender-Based Violence (GBV)
MOZ,FSC,35600000,1704804,1498509,2026,534342584,131262552,24.57,7.5,Food Security
MOZ,PRO-CPN,35600000,894050,649530,2026,534342584,131262552,24.57,7.5,Child Protection
MOZ,PRO,35600000,1654443,1008599,2026,534342584,131262552,24.57,7.5,Protection (overall)
NER,ALL,27900000,2600000,1600000,2026,675619589,66462854,9.84,7.2,Final caseload
NGA,SHL,237500000,3458621,635294,2026,516399423,188766423,36.55,8.4,Emergency Shelter
NGA,WSH,237500000,4383752,1559462,2026,516399423,188766423,36.55,8.4,"Water, Sanitation and Hygiene"
NGA,HEA,237500000,3957689,1488054,2026,516399423,188766423,36.55,8.4,Health
NGA,CCM,237500000,2036114,568578,2026,516399423,188766423,36.55,8.4,Camp Coordination And Camp Management
NGA,EDU,237500000,1648802,633643,2026,516399423,188766423,36.55,8.4,Education
NGA,FSC,237500000,5848123,1492595,2026,516399423,188766423,36.55,8.4,Food Security
NGA,PRO,237500000,3328745,1472715,2026,516399423,188766423,36.55,8.4,Protection (overall)
NGA,ALL,237500000,5900000,2500000,2026,516399423,188766423,36.55,8.4,Final caseload
NGA,NUT,237500000,4114246,1533941,2026,516399423,188766423,36.55,8.4,Nutrition
SDN,ALL,51700000,33699770,20419163,2026,2866228593,488147337,17.03,9.7,Final caseload
SOM,ALL,19700000,4796040,2430751,2026,852000000,111250193,13.06,8.6,Final caseload
SOM,CCM,19700000,2039580,1039063,2026,852000000,111250193,13.06,8.6,Camp Coordination And Camp Management
SOM,FSC,19700000,3908790,1922340,2026,852000000,111250193,13.06,8.6,Food Security
SOM,EDU,19700000,1729469,628192,2026,852000000,111250193,13.06,8.6,Education
SOM,SHL,19700000,3138086,679231,2026,852000000,111250193,13.06,8.6,Emergency Shelter
SOM,MPC,19700000,4796040,1735505,2026,852000000,111250193,13.06,8.6,Multi-Purpose Cash
SOM,PRO,19700000,3097201,1853929,2026,852000000,111250193,13.06,8.6,Protection (overall)
SOM,HEA,19700000,4989936,2426481,2026,852000000,111250193,13.06,8.6,Health
SOM,WSH,19700000,4486155,2229585,2026,852000000,111250193,13.06,8.6,"Water, Sanitation and Hygiene"
SOM,NUT,19700000,2369935,1270239,2026,852000000,111250193,13.06,8.6,Nutrition
SSD,HEA,14363363,6269692,2884600,2026,1463046056,322015249,22.01,9.3,Health
SSD,MS,14363363,647302,592848,2026,1463046056,322015249,22.01,9.3,Refugees and Migrant Multisector
SSD,FSC,14363363,7650962,2664032,2026,1463046056,322015249,22.01,9.3,Food Security
